Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
3DO Interactive Multiplayer,true,1993-10-04,The 3DO Company,"Panasonic Corporation, Sanyo Electric Co., Ltd., GoldStar",32-bit RISC ARM60 @ 12.5 MHz,2 MB main RAM and 1 MB video RAM,2x Yamaha V9990 (CLIO and MADAM) @ 25 MHz,16-bit stereo,320x240 and 640x480,CD-ROM,1 (up to 8 if daisy-chained),"The 3DO Interactive Multiplayer (often called simply 3DO) is a video game console originally produced by Panasonic in 1993. Further renditions of the hardware were released in 1994 by Sanyo and Goldstar. The consoles were manufactured according to specifications created by The 3DO Company, and were originally designed by Dave Needle and RJ Mical of New Technology Group. The system was conceived by entrepreneur and Electronic Arts founder Trip Hawkins.",Consoles
Commodore Amiga,true,1985-07-23,Commodore,Commodore,Motorola 680x0 (68000-68060),512kb,OCS / ECS / AGA chipset,4-channel,320 x 200 / 640 x 400 / NTSC or 320 x 256 / 640 x 512 PAL,"3.5"" disk",1,"The Amiga is a family of personal computers marketed by Commodore in the 1980s and 1990s. The first model was launched in 1985 as a high-end home computer and became popular for its graphical, audio and multi-tasking abilities. The Amiga provided a significant upgrade from 8-bit computers, such as the Commodore 64, and the platform quickly grew in popularity among computer enthusiasts. The best selling model, the Amiga 500, was introduced in 1987 and became the leading home computer of the late 1980s and early 1990s in much of Western Europe",Computers
Amstrad CPC,true,1984-01-01,Amstrad,Amstrad,Zilog Z80A,"64 or 128 KB, expandable to 576 KB",CRTC Motorola 6845,AY-3-8912,"160x200, 320x200, 640x200","Cassette tape, 3 inch Hitachi/Panasonic Floppy Disk",,"The Amstrad Colour Personal Computer, better known as the Amstrad CPC, is a series of 8-bit home computers designed by Amstrad.  The first models were released in April 1984 in Europe at a retail price ranging from £199 to £299, depending on the package bought. The computers were not released outside of Europe.  The CPC series had five distinct models: The CPC464, CPC664, CPC6128, 464plus, and 6128plus. The computers were manufactured until an unspecified time in 1990.",Computers
Android,true,2008-09-23,Google,Various,"ARM architecture (ARMv7 and ARMv8-A architectures), with x86 and MIPS architectures",,,,Touchscreen,,,"Android is a mobile operating system (OS) based on the Linux kernel and currently developed by Google. With a user interface based on direct manipulation, Android is designed primarily for touchscreen mobile devices such as smartphones and tablet computers, with specialized user interfaces for televisions (Android TV), cars (Android Auto), and wrist watches (Android Wear). The OS uses touch inputs that loosely correspond to real-world actions, like swiping, tapping, pinching, and reverse pinching to manipulate on-screen objects, and a virtual keyboard. Despite being primarily designed for touchscreen input, it has also been used in game consoles, digital cameras, regular PCs, and other electronics. As of 2015, Android has the largest installed base of all operating systems.

As of July 2013, the Google Play store has had over one million Android applications (""apps"") published, and over 50 billion applications downloaded. An April–May 2013 survey of mobile application developers found that 71% of them create applications for Android; another 2015 survey found that 40% of full-time professional developers see Android as the ""priority"" target platform, which is more than iOS (37%) or other platforms. At Google I/O 2014, the company revealed that there were over one billion active monthly Android users, up from 538 million in June 2013.

Android's source code is released by Google under open source licenses, although most Android devices ultimately ship with a combination of open source and proprietary software, including proprietary software developed and licensed by Google. Initially developed by Android, Inc., which Google bought in 2005, Android was unveiled in 2007, along with the founding of the Open Handset Alliance – a consortium of hardware, software, and telecommunication companies devoted to advancing open standards for mobile devices.

Android is popular with technology companies which require a ready-made, low-cost and customizable operating system for high-tech devices. Android's open nature has encouraged a large community of developers and enthusiasts to use the open-source code as a foundation for community-driven projects, which add new features for advanced users or bring Android to devices which were officially released running other operating systems. The operating system's success has made it a target for patent litigation as part of the so-called ""smartphone wars"" between technology companies.",Mobile
Arcade,true,,,,,,,,,,,"An arcade game or coin-op is a coin-operated entertainment machine typically installed in public businesses such as restaurants, bars and amusement arcades. Most arcade games are video games, pinball machines, electro-mechanical games, redemption games or merchandisers. While exact dates are debated, the golden age of arcade video games is usually defined as a period beginning sometime in the late 1970s and ending sometime in the mid-1980s. Excluding a brief resurgence in the early 1990s, the arcade industry subsequently declined in the Western hemisphere as competing home-based video game consoles such as Playstation and Xbox increased in their graphics and game-play capability and decreased in cost.",Arcade
Atari 2600,true,1977-09-11,"Atari, Inc.","Atari, Inc.",8-bit MOS Technology 6507 @ 1.19 MHz,128 bytes,Television Interface Adaptor (TIA),2 channel handled by the TIA,160x192,Cartridge,2,"The Atari Video Computer System (VCS), later named the Atari 2600, is a second generation (1976–1992) home video game console developed and distributed by Atari, Inc. It was released on September 11, 1977 in North America at a retail price of $199. The console was later released in Europe (1978) and Japan (1983 - as the Atari 2800). The Atari 2600 popularized the use of microprocessor-based hardware and games contained on ROM cartridges. The console was discontinued on January 1, 1992.",Consoles
Atari 5200,true,1982-11-01,"Atari, Inc.","Atari, Inc.",8-bit MOS Technology 6502C @ 1.79 MHz,16 KB,Atari Alphanumeric Television Interface Controller (ANTIC) and Atari Graphic Television Interface Adaptor (GTIA),"Atari Pot Keyboard Integrated Circuit (POKEY), 4 channels",320x192,Cartridge,2 or 4 (depending on model),"The Atari 5200 SuperSystem, commonly known as the Atari 5200, is a second generation (1976–1992) video game console developed and distributed by Atari, Inc. It was released in November 1982 in North America at a retail price of $269. It was not released outside North America. The 5200's internal hardware was almost identical to Atari's 8-bit computers however it came with an innovative controller featuring a 360-degree non-centering joystick with a numeric keypad, start, pause, and reset buttons. The console was discontinued on May 21, 1984.",Consoles
Atari 7800,true,1986-05-01,Atari Corporation,Atari Corporation,"8-bit Atari SALLY 6502 (""6502C"") @ 1.79 MHz",4 KB,MARIA custom graphics controller  @ 7.16 MHz,"Television Interface Adaptor (TIA), 2 channels",320x192,Cartridge,2,"The Atari 7800 Pro System, commonly known as the Atari 7800, is a third generation (1983-2003) video game console developed and distributed by Atari Corporation. It was released in May 1986 in North America at a retail price of $79.95. The console was later released in Europe (1987). The 7800 is considered one of the first backward-compatible consoles as it could play Atari 2600 games without the use of additional modules. The console was discontinued on January 1, 1992.",Consoles
Atari Jaguar,true,1993-11-23,Atari Corporation,IBM,Motorola 68000 @ 13.29 MHz,2 MB DRAM,"Atari custom ""Tom"" chip @ 26.59 MHz, GPU 32-bit RISC, 4KB RAM","Atari custom ""Jerry"" chip @ 26.59 MHz, 16-bit stereo","320x224p, 360x224p, 640x224p, 720x224p, 320x448i, 360x448i, 640x448i, 720x448i",ROM cartridge,2,"The Atari Jaguar is a fifth generation (1993–2005) video game console developed and distributed by Atari Corporation. It was released in November 1993 in North America at a retail price of $249.99. The console was later released in Europe (1994), Australia (1994), and Japan (1994). The Jaguar was marketed as being the first 64-bit video game console; however this claim was widely criticized.  The console was discontinued in early 1996, possibly at the time of the company's sale on April 8, 1996.",Consoles
Atari Jaguar CD,true,1995-09-21,Atari Corporation,Atari Corporation,,,,,,CD-ROM,,"The Atari Jaguar CD is a fifth generation (1993–2005) CD-ROM peripheral for the Atari Jaguar video game console developed and distributed by Atari Corporation. It was released in September 1995 in North America at a retail price of $149.95. The peripheral was also released in Europe (1995). The Jaguar CD unit featured a double-speed (2×) drive and its own cartridge slot to allow cartridge games to be played without removing the CD drive. The peripheral was discontinued in early 1996, possibly at the time of the company's sale on April 8, 1996.",Consoles
