"created_at","description","favourites_count","followers_count","friends_count","geo_enabled","id","id_str","lang","listed_count","location","name","screen_name","statuses_count","time_zone","verified"
06/15/09 01:09 AM,"Run Lighthearted Locavore Blog. Cook, eat, write, travel, photograph. Board Trustee @culinarytrust @IACPculinary;  write @thedailymeal Culinary Content Network",12,957,1280,TRUE,47221835,47221835,"en",40,"Manhattan + Southampton","Lexi Van de Walle","LightLocavore",1641,"Eastern Time (US & Canada)",FALSE
10/01/10 02:36 AM,"Brooklynite, foodie, locavore, cook, traveler, turtle mom, marketer, wine lover, adventure seeker. Endorser of all things local. Opinions are my own.",23,385,371,TRUE,197280663,197280663,"en",10,"Brooklyn, NY","Melissa Brody","BklynLocavore",1414,"Eastern Time (US & Canada)",FALSE
09/27/12 05:20 AM,"Tweets that encourage possibility thinking for local food systems - - - - - - Editor: Elbert van Donkersgoed #locavore",29,568,487,TRUE,848695518,848695518,"en",10,"Guelph, Ontario, Canada","Locavore News","Locavore2007",469,"Eastern Time (US & Canada)",FALSE
06/08/11 12:54 PM,"Locavore Blogger with thoughts on eating and growing local in the North Star State",2,361,537,FALSE,313296159,313296159,"en",15,"Saint Paul, MN","Amy Sippl","MinnLocavore",315,"Central Time (US & Canada)",FALSE
10/11/10 08:37 PM,"Little caterer cooking up carefully sourced, seasonal produce in & around London and The Cotswold's. Also run 'Locavore Yoga' on my Cotswold family farm.",11,431,596,TRUE,201424103,201424103,"en",8,"Fulham and Moreton-in-Marsh","Love a Locavore ","LoveaLocavore",772,"Greenwich Mean Time",FALSE
02/18/12 10:07 PM,"We are working on Maine #locavore cookbook - see web site for info",2,287,483,FALSE,496375792,496375792,"en",4,"Carrabassett Valley, Maine","Locavore Cookbooks","MaineLocavore",260,"Eastern Time (US & Canada)",FALSE
08/27/08 04:39 AM,"Nancy Ging: Columnist, blogger, speaker and consultant on eating as a locavore, using locally grown, healthy real food as much as possible.",0,111,70,TRUE,16007946,16007946,"en",9,"Lummi Island, WA, USA","Whatcom Locavore","WhatcomLocavore",553,"Pacific Time (US & Canada)",FALSE
10/04/12 07:54 PM,"Weather Specialist/Host on The Morning News @globalhalifax. Fun-loving, food-obsessed locavore & yogi who loves her family, good tunes & laughter.",2247,2690,2146,TRUE,861952442,861952442,"en",44,"Halifax","Jill Chappell","jill_chappell",5675,"Atlantic Time (Canada)",TRUE
03/18/09 03:31 PM,"Shoot it, Catch it, Brew it, Grow it. Locavore living in the magical Black Hills of South Dakota.",0,150,100,FALSE,25091379,25091379,"en",5,"The best side of South Dakota","Black Hills Locavore","BHLocavore",164,"Mountain Time (US & Canada)",FALSE
07/11/11 01:06 PM,"A city girl committed to a sustainable food system, searching out locavore/localvore gems of Boston, learning about food politics & the delights of local fare.",1,95,117,TRUE,333380750,333380750,"en",2,"Boston, MA","Leah Perez ","MsUrbanLocavore",184,"Quito",FALSE
